Custom Name,Brix,T2
A43-4,12.9,22.4
A43-5,12.1,22.3
A43-6,12.3,22.2
A44-1,12.6,22.3
A44-2,13.9,22.2
A44-3,13.5,22.2
A44-4,13.4,22.3
A44-5,13.7,22.3
A44-6,12.5,22.3
A45-1,13.1,22.3
A45-2,13.3,22.3
A45-3,12.9,22.2
A45-4,13.3,22.3
A45-5,13.3,22.3
A45-6,14,22.2
A46-1,16.1,22.6
A46-2,15.6,22.6
A46-3,15.2,22.6
A46-4,14.8,22.7
A46-5,15.1,22.7
A46-6,14.7,22.7
A47-1,15.9,22.6
A47-2,15.7,22.6
A47-3,14.6,22.6
A47-4,13.8,22.6
A47-5,13.1,22.6
A47-6,13.5,22.6
A48-1,14.4,22.5
A48-2,15.1,22.4
A48-3,14.8,22.4
A48-4,13.7,22.4
A48-5,13.8,22.4
A48-6,14.3,22.3
A49-1,14.1,22.3
A49-2,14.6,27.2
A49-3,14.7,22.2
A49-4,14.6,22.2
A49-5,14.2,22.2
A49-6,14.4,22.2
A50-1,15.9,22.2
A50-2,17.1,22.1
A50-3,16.2,22.1
A50-4,13.4,22.1
A50-5,12.3,22.1
A50-6,13.1,22
A51-1,13.5,21.9
A51-2,12.9,22
A51-3,13.1,21.9
A51-4,13.4,21.9
A51-5,13.1,21.9
A51-6,13.4,21.9
A52-1,14.2,21.7
A52-2,14.9,21.8
A52-3,14.2,21.8
A52-4,13.1,21.8
A52-5,11.8,21.8
A52-6,13.5,21.8
A53-1,13.8,21.8
A53-2,13.9,21.8
A53-3,13.1,21.9
A53-4,13,21.9
A53-5,13.2,21.9
A53-6,13.5,21.9
A54-1,14.6,22
A54-2,15.3,22
A54-3,14.8,22
A54-4,13.7,22.1
A54-5,14.7,22.2
A54-6,14,22.2
A55-1,13.2,22.2
A55-2,13.9,22.2
A55-3,13.9,22.2
A55-4,13.5,22.2
A55-5,13.4,22.2
A55-6,13.2,22.2
A56-1,12.9,22.2
A56-2,14,22.2
A56-3,14,22.2
A56-4,13.9,22.2
A56-5,13.7,22.1
A56-6,13.4,22.1
A57-1,14,22
A57-2,13.9,22
A57-3,14.3,21.9
A57-4,13.7,22
A57-5,14,21.9
A57-6,14.3,21.9
A58-1,15.2,21.9
A58-2,14.9,21.9
A58-3,15.5,22
A58-4,14.1,22
A58-5,14.3,22
A58-6,12.7,22.1
A59-1,14.7,22
A59-2,15.9,22
A59-3,15.6,21.9
A59-4,13.7,21.9
A59-5,13.3,21.9
A59-6,13.1,21.9
A60-1,14.4,21.9
A60-2,16,21.9
A60-3,15,21.9
A60-4,13.2,21.9
A60-5,13.8,21.9
A60-6,13.7,21.9
A61-1,17.8,22.1
A61-2,18.4,22.2
A61-3,15.8,22.3
A61-4,13.2,22.3
A61-5,13,22.3
A61-6,13.5,22.3
A62-1,14.9,22.1
A62-2,15.5,22.2
A62-3,17.4,22.3
A62-4,15.2,22.3
A62-5,15.3,22.3
A62-6,14.1,22.3
A63-1,13.8,22.3
A63-2,13.8,22.3
A63-3,13.6,22.3
A63-4,11.9,22.2
A63-5,12.8,22.2
